"browser","language","benchmark","avg_memory","avg_cpu"
"chrome","cpp","binary_trees",1437450.83333333,15.0333333333333
"chrome","cpp","binary_trees",1395677,5.36666666666667
"chrome","cpp","binary_trees",1420697.16666667,7.75
"chrome","cpp","binary_trees",1407320.83333333,13.0666666666667
"chrome","cpp","binary_trees",1406425.66666667,15.6333333333333
"chrome","cpp","binary_trees",1419471.66666667,10.8833333333333
"chrome","cpp","binary_trees",1421594.83333333,8.35
"firefox","cpp","binary_trees",1436521.4,4.5
"firefox","cpp","binary_trees",1429786,4.54
"firefox","cpp","binary_trees",1437016.16666667,5.6
"firefox","cpp","binary_trees",1430559.16666667,4.26666666666667
"firefox","cpp","binary_trees",1403926.2,3.18
"firefox","cpp","binary_trees",1418012,15.34
"firefox","cpp","binary_trees",1425261.2,11.6
"firefox","cpp","binary_trees",1423083.6,11.52
"firefox","cpp","binary_trees",1461856.83333333,10.6666666666667
"firefox","cpp","binary_trees",1457098.2,4.58
"chrome","go","spectral_norm",1433944.17647059,26.5117647058824
"chrome","go","spectral_norm",1448311.29411765,28.6470588235294
"chrome","go","spectral_norm",1446072.21875,28.6
"chrome","go","spectral_norm",1429279.05555556,28.9666666666667
"chrome","go","spectral_norm",1437539.72222222,27.4444444444444
"chrome","go","spectral_norm",1392417.72222222,28.3666666666667
"chrome","go","spectral_norm",1416832.05555556,28.8888888888889
"chrome","go","spectral_norm",1416494.47058824,26.8823529411765
"chrome","go","spectral_norm",1438498.41176471,26.8647058823529
"chrome","go","spectral_norm",1431198.41176471,25.0588235294118
"firefox","go","spectral_norm",1500771.375,13.5875
"firefox","go","spectral_norm",1438799.5,29.25
"firefox","go","spectral_norm",1426499.625,20.2125
"firefox","go","spectral_norm",1445363.85714286,17.2714285714286
"firefox","go","spectral_norm",1425523.375,4.75
"firefox","go","spectral_norm",1440341,16.5714285714286
"firefox","go","spectral_norm",1485106.625,19.125
"firefox","go","spectral_norm",1403266.125,15.125
"firefox","go","spectral_norm",1435075.75,24.7
"firefox","go","spectral_norm",1456452.25,20.2875
"chrome","rust","mandelbrot",1405009.66666667,19.5333333333333
"chrome","rust","mandelbrot",1416631.66666667,3.43333333333333
"chrome","rust","mandelbrot",1405730.33333333,9.26666666666667
"chrome","rust","mandelbrot",1412443,9.13333333333333
"chrome","rust","mandelbrot",1393984.66666667,9.8
"chrome","rust","mandelbrot",1385947.33333333,12.6666666666667
"chrome","rust","mandelbrot",1372819,19
"chrome","rust","mandelbrot",1407998.66666667,20.2
"chrome","rust","mandelbrot",1404175,16.6
"chrome","rust","mandelbrot",1427828.66666667,4.83333333333333
"firefox","rust","mandelbrot",1449640,11.2
"firefox","rust","mandelbrot",1405709.33333333,13.0333333333333
"firefox","rust","mandelbrot",1428483.33333333,8.2
"firefox","rust","mandelbrot",1421127,12.6666666666667
"firefox","rust","mandelbrot",1414375,18.9333333333333
"firefox","rust","mandelbrot",1422736.33333333,4.06666666666667
"firefox","rust","mandelbrot",1424462.66666667,4.56666666666667
"firefox","rust","mandelbrot",1482217.66666667,15.2666666666667
"firefox","rust","mandelbrot",1383538,10.3333333333333
"firefox","rust","mandelbrot",1404361.33333333,4.93333333333333
