"browser","language","benchmark","avg_energy"
"chrome","c","fannkuch_redux",80.831563085
"firefox","c","fannkuch_redux",38.215952688
"firefox","c","fannkuch_redux",31.5293619845
"firefox","c","fannkuch_redux",38.897247392
"firefox","c","fannkuch_redux",32.837314953
"firefox","c","fannkuch_redux",29.863386029
"firefox","c","fannkuch_redux",30.7816799415
"firefox","c","fannkuch_redux",41.646398234
"firefox","c","fannkuch_redux",33.192283805
"firefox","c","fannkuch_redux",40.2020562055
"firefox","c","fannkuch_redux",35.0834760345
"chrome","cpp","binary_trees",9.2707485835
"chrome","cpp","binary_trees",8.931368671
"chrome","cpp","binary_trees",8.486383958
"chrome","cpp","binary_trees",9.504792078
"chrome","cpp","binary_trees",10.1573104445
"chrome","cpp","binary_trees",28.414421595
"chrome","cpp","binary_trees",8.5671336115
"chrome","cpp","binary_trees",8.672258438
"chrome","cpp","binary_trees",9.620798408
"chrome","cpp","binary_trees",9.7831884055
"firefox","cpp","binary_trees",10.1620789695
"firefox","cpp","binary_trees",10.56554232
"firefox","cpp","binary_trees",10.681400599
"firefox","cpp","binary_trees",9.385444108
"firefox","cpp","binary_trees",10.2439986725
"firefox","cpp","binary_trees",10.727209045
"firefox","cpp","binary_trees",9.5021397965
"firefox","cpp","binary_trees",9.5951294125
"firefox","cpp","binary_trees",10.7905857165
"firefox","cpp","binary_trees",9.754292391
"chrome","go","spectral_norm",36.345992291
"chrome","go","spectral_norm",32.40901814
"chrome","go","spectral_norm",33.2657394365
"chrome","go","spectral_norm",37.11053263
"chrome","go","spectral_norm",30.8289552935
"chrome","go","spectral_norm",29.269136814
"chrome","go","spectral_norm",29.463695594
"chrome","go","spectral_norm",35.7255179915
"chrome","go","spectral_norm",36.6876177175
"chrome","go","spectral_norm",32.6394848955
"firefox","go","spectral_norm",20.2251400375
"firefox","go","spectral_norm",17.0615944405
"firefox","go","spectral_norm",20.84601719
"firefox","go","spectral_norm",20.6116770615
"firefox","go","spectral_norm",20.63316862
"firefox","go","spectral_norm",18.5658524075
"firefox","go","spectral_norm",18.905097938
"firefox","go","spectral_norm",20.1717088425
"firefox","go","spectral_norm",18.0269785015
"firefox","go","spectral_norm",13.7707396835
"chrome","rust","mandelbrot",1.88144278
"chrome","rust","mandelbrot",2.4116097505
"chrome","rust","mandelbrot",2.6146579895
"chrome","rust","mandelbrot",2.100268841
"chrome","rust","mandelbrot",2.3219820265
"chrome","rust","mandelbrot",3.043063539
